name,latitude,longitude
Coon Rapids,41.87477,-94.67845
Coppock,41.16424,-91.71482
Coralville,41.67640,-91.58045
Corley,41.57860,-95.33028
Corning,40.98999,-94.74081
Correctionville,42.47499,-95.78557
Corwith,42.99274,-93.95745
Corydon,40.75695,-93.31882
Cotter,41.29197,-91.46155
Coulter,42.73720,-93.36993
Council Bluffs,41.26194,-95.86083
Craig,42.89582,-96.30975
Crawfordsville,41.21456,-91.53731
Crescent,41.36500,-95.85807
Cresco,43.38136,-92.11405
Creston,41.05860,-94.36135
Cromwell,41.03943,-94.46191
Crystal Lake,43.22329,-93.79244
Cumberland,41.27416,-94.87026
Cumming,41.48332,-93.76244
Curlew,42.97886,-94.74109
Cushing,42.46471,-95.67501
Cylinder,43.08886,-94.55303
Dakota City,42.72219,-94.19718
Dallas Center,41.68443,-93.96106
Dana,42.10748,-94.24080
Danbury,42.23416,-95.72223
Danville,40.86448,-91.31460
Davenport,41.52364,-90.57764
Davis City,40.63917,-93.81161
Dawson,41.84276,-94.22246
Dayton,42.26136,-94.06857
Decatur City,40.74194,-93.83383
Decorah,43.30331,-91.78571
Dedham,41.90610,-94.82221
Deep River,41.58028,-92.37491
Defiance,41.82415,-95.34278
Delaware,42.47527,-91.34542
Delhi,42.42971,-91.33098
Delmar,42.00225,-90.60708
Deloit,42.09777,-95.32250
Delphos,40.66360,-94.33940
Delta,41.32279,-92.33018
Denison,42.01777,-95.35528
Denmark,40.74171,-91.33737
Denver,42.67137,-92.33740
Derby,40.93167,-93.45632
Des Moines,41.57259,-93.61024
De Soto,41.53166,-94.00967
DeWitt,41.82278,-90.54278
De Witt,41.82336,-90.53819
Dexter,41.51832,-94.22635
Diagonal,40.80943,-94.34218
Diamondhead Lake,41.55209,-94.26222
Dickens,43.13136,-95.02360
Dike,42.46415,-92.62825
Dixon,41.74280,-90.78237
Dolliver,43.46440,-94.62526
Donahue,41.69475,-90.67542
Donnellson,40.64282,-91.56460
Doon,43.27942,-96.23280
Douds,40.83947,-92.08657
Dougherty,42.92219,-93.04214
Dow City,41.92888,-95.49389
Dows,42.66182,-93.50549
Drakesville,40.79835,-92.48158
Dubuque,42.50056,-90.66457
Dumont,42.75192,-92.97547
Duncan,43.10468,-93.71133
Duncombe,42.47053,-93.99356
Dundee,42.57915,-91.54654
Dunkerton,42.56999,-92.16046
Dunlap,41.85247,-95.60125
Durango,42.56028,-90.77568
Durant,41.60148,-90.91194
Dyersville,42.48149,-91.11660
