name,latitude,longitude
South English,41.45223,-92.09046
Spencer,43.14136,-95.14444
Spillville,43.20497,-91.95100
Spirit Lake,43.42218,-95.10222
Spragueville,42.07252,-90.43513
Springbrook,42.16419,-90.47652
Spring Hill,41.41138,-93.64494
Springville,42.05945,-91.44267
Stacyville,43.43608,-92.78241
Stanhope,42.28887,-93.79606
Stanley,42.64196,-91.81189
St. Ansgar,43.37830,-92.91881
St. Anthony,42.12221,-93.19493
Stanton,40.98166,-95.10415
Stanwood,41.89307,-91.15071
State Center,42.01665,-93.16354
St. Benedict,43.03802,-94.06440
St. Charles,41.28833,-93.80939
St. Donatus,42.36084,-90.53930
Steamboat Rock,42.40943,-93.06576
St. Joseph,42.91330,-94.22719
St. Lucas,43.06636,-91.93350
St. Marys,41.30805,-93.72966
Stockport,40.85753,-91.83517
Stockton,41.59142,-90.85876
St. Olaf,42.92860,-91.38625
Stone City,42.11389,-91.34933
Storm Lake,42.64109,-95.20972
Story City,42.18721,-93.59577
Stout,42.52637,-92.71186
St. Paul,40.76948,-91.51710
Stratford,42.26912,-93.92724
Strawberry Point,42.68360,-91.53403
Struble,42.89527,-96.19530
Stuart,41.50027,-94.31868
Sully,41.57833,-92.84492
Sumner,42.84937,-92.09715
Sun Valley Lake,40.84911,-94.06813
Superior,43.43024,-94.94638
Sutherland,42.97414,-95.49751
Swaledale,42.97858,-93.31687
Swan,41.46527,-93.31132
Swea City,43.38440,-94.31497
Swisher,41.84556,-91.69295
Tabor,40.89494,-95.67371
Tama,41.96666,-92.57686
Templeton,41.91832,-94.94277
Tennant,41.59360,-95.44111
Terril,43.30579,-94.97166
Thayer,41.02805,-94.05078
Thompson,43.37134,-93.77356
Thor,42.68803,-94.04940
Thornburg,41.45473,-92.33574
Thornton,42.94469,-93.38465
Thurman,40.82000,-95.74778
Tiffin,41.70585,-91.66295
Tingley,40.85277,-94.19523
Tipton,41.76974,-91.12794
Titonka,43.23691,-94.04134
Toeterville,43.44219,-92.89047
Toledo,41.99555,-92.57686
Toronto,41.90502,-90.86403
Traer,42.19360,-92.46547
Treynor,41.23250,-95.61306
Tripoli,42.80804,-92.25823
Truesdale,42.72915,-95.18277
Truro,41.20972,-93.84661
Turin,42.01943,-95.96640
Twin Lakes,42.48470,-94.63589
Udell,40.78085,-92.74214
Underwood,41.38694,-95.67667
Union,42.24554,-93.06465
Unionville,40.81835,-92.69547
University Heights,41.65502,-91.55684
University Park,41.28695,-92.61853
Urbana,42.22416,-91.87434
Urbandale,41.63679,-93.77983
Ute,42.05027,-95.70639
Vail,42.06193,-95.19999
Valeria,41.72999,-93.32521
Van Horne,42.00861,-92.09102
Van Meter,41.53193,-93.95412
Van Wert,40.86972,-93.79300
Varina,42.65803,-94.89776
Ventura,43.12635,-93.47771
Victor,41.73074,-92.29474
Villisca,40.92971,-94.97609
Vincent,42.59191,-94.02023
Vining,41.98999,-92.37991
Vinton,42.16861,-92.02351
Volga,42.80471,-91.54098
Wadena,42.84276,-91.65682
Wahpeton,43.36608,-95.17194
Walcott,41.58732,-90.78052
Walford,41.87966,-91.83052
Walker,42.28666,-91.78073
Wallingford,43.31968,-94.79276
Wall Lake,42.27110,-95.09305
Walnut,41.47749,-95.22194
Wapello,41.18142,-91.18543
Washburn,42.41166,-92.26741
Washington,41.29918,-91.69294
Washta,42.57554,-95.71751
Waterloo,42.49276,-92.34296
Waterville,43.20776,-91.29763
Watkins,41.89111,-91.98629
Waucoma,43.05609,-92.03323
Waukee,41.61166,-93.88523
Waukon,43.26942,-91.47570
Waverly,42.72581,-92.47546
Wayland,41.14724,-91.66072
Webb,42.94858,-95.01193
Webster,41.43834,-92.16907
Webster City,42.46942,-93.81605
Weldon,40.89750,-93.73494
Wellman,41.46418,-91.83823
Wellsburg,42.45915,-92.93853
Welton,41.90808,-90.59541
Wesley,43.08830,-93.99023
West Amana,41.80806,-91.96379
West Bend,42.95994,-94.44568
West Branch,41.66276,-91.34064
West Burlington,40.82504,-91.15654
West Chester,41.33890,-91.81767
West Des Moines,41.54994,-93.78135
Westfield,42.75555,-96.60587
Westgate,42.76998,-91.99628
West Liberty,41.57002,-91.26377
West Okoboji,43.35330,-95.16250
Weston,41.34083,-95.74112
Westphalia,41.71971,-95.39472
West Point,40.71670,-91.45015
Westside,42.05915,-95.09805
West Union,42.96276,-91.80822
Westwood,40.96558,-91.62377
What Cheer,41.40140,-92.35463
Wheatland,41.83169,-90.83820
Whiting,42.12749,-96.14946
Whittemore,43.06191,-94.42692
Whitten,42.26082,-93.00548
Willey,41.97915,-94.82221
Williams,42.48831,-93.54493
Williamsburg,41.66112,-92.00907
Williamson,41.08778,-93.25493
Wilton,41.58911,-91.02548
Windsor Heights,41.59777,-93.70828
Winfield,41.12308,-91.44127
Winterset,41.33082,-94.01384
Winthrop,42.47332,-91.73433
Wiota,41.40027,-94.88693
Woden,43.23302,-93.90912
Woodbine,41.73832,-95.70278
Woodburn,41.01194,-93.59910
Woodward,41.85280,-93.92077
Woolstock,42.56664,-93.84383
Worthington,42.39639,-91.11986
Wyoming,42.05918,-91.00737
Yale,41.77665,-94.35802
Yetter,42.31609,-94.84610
Yorktown,40.73333,-95.15693
Zearing,42.16110,-93.29715
Zwingle,42.29717,-90.68745
